Unnamed: 0,Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_Fertility,Soil_Type,pH,Pollution_Level,Plot_Size,Chosen_Crop,Annual_Yield,Standard_Yield
13986,13986,675.7034,-6.4031644,0.01605448,Rural_Sokoto,13.420945,1329.6,-4.0,30.0,13.0,0.63,Volcanic,4.8042827,0.9465854,0.8,cassava,0.2659837,0.33247963
13987,13987,858.90686,-1.0053438,-1.9930036,Rural_Kilimani,5.0353646,1353.8,-2.3,29.0,13.35,0.61,Volcanic,5.497613,0.028571624,4.6,tea,2.9751043,0.6467618
13988,13988,703.69,-2.9608147,-4.0831447,Rural_Kilimani,5.0310493,602.8,-4.4,30.6,13.1,0.55,Sandy,6.303541,0.17976652,2.3,potato,1.2818844,0.55734104
13989,13989,703.29834,-3.9025044,-5.24984,Rural_Kilimani,13.073269,450.5,-4.5,30.8,13.15,0.57,Sandy,6.259764,0.22560959,0.5,wheat,0.28264454,0.5652891
13990,13990,525.257,-6.96187,-0.61459154,Rural_Sokoto,11.686205,1188.7,-5.4,31.7,13.15,0.62,Loamy,5.1849,0.710606,4.9,wheat,1.9064996,0.38908157
13991,13991,600.09576,-8.444243,-5.2858768,Rural_Hawassa,5.654303,1153.5,-4.8,31.1,13.15,0.6,Loamy,5.7129765,0.3736911,3.3,cassava,2.0235655,0.6132017
13992,13992,813.16254,-10.323117,0.43498364,Rural_Sokoto,6.8571305,2270.0,-1.8,29.9,14.05,0.68,Volcanic,5.0336113,0.3186927,3.8,tea,2.5126736,0.6612299
13993,13993,1002.9449,-4.501762,-4.006566,Rural_Kilimani,0.75531584,882.3,-1.4,30.7,14.65,0.56,Rocky,5.689294,0.21199581,14.5,cassava,7.9501643,0.5482872
13994,13994,773.5099,-10.169924,-0.24070854,Rural_Sokoto,5.006127,2182.8,-2.3,29.2,13.45,0.67,Volcanic,5.416087,0.37501895,3.4,coffee,1.998637,0.58783436
13995,13995,504.6713,-9.498575,-7.5697165,Rural_Akatsi,8.656296,1522.2,-5.3,31.7,13.2,0.63,Silt,6.9300203,0.06280215,3.9,wheat,2.0709186,0.5310047
13996,13996,307.23022,-11.508115,-8.173335,Rural_Akatsi,7.837652,1771.9,-6.8,34.4,13.8,0.65,Silt,5.7876425,0.30326164,4.4,rice,2.3492825,0.53392786
13997,13997,287.99564,-12.5264015,-7.87603,Rural_Akatsi,5.836635,1707.6,-7.1,31.1,12.0,0.64,Silt,6.7377505,0.018127263,4.8,rice,2.5472794,0.5306832
13998,13998,323.8871,-13.643813,-7.2048426,Rural_Hawassa,4.691379,1517.1,-7.0,34.2,13.6,0.62,Silt,6.538879,5.490483e-07,4.3,banana,1.6899265,0.39300615
13999,13999,658.2317,-7.718827,-1.1191083,Rural_Sokoto,3.1784775,1420.9,-4.0,28.8,12.4,0.61,Volcanic,5.0166945,0.4153002,6.0,cassava,2.3460152,0.39100254
14000,14000,531.76196,-5.745333,-0.74973,Rural_Sokoto,3.7166696,1026.9,-5.5,32.4,13.45,0.58,Loamy,4.9795537,0.92336726,8.2,cassava,4.0116234,0.48922235
14001,14001,726.33563,-9.741883,-0.90288687,Rural_Sokoto,14.176113,2013.3,-2.9,28.3,12.7,0.69,Volcanic,4.9546695,0.17432584,0.9,tea,0.72074455,0.8008273
14002,14002,661.98,-7.5971727,1.0340973,Rural_Sokoto,18.14318,1560.9,-3.9,30.7,13.4,0.67,Volcanic,4.197972,0.20681566,0.5,tea,0.36403784,0.7280757
14003,14003,375.96497,-12.81026,-9.087771,Rural_Akatsi,1.546281,1775.7,-6.3,35.3,14.5,0.63,Silt,6.3180604,0.0011039284,13.5,banana,6.619154,0.4903077
14004,14004,743.27136,-9.219222,-2.0921052,Rural_Sokoto,3.5537817,1794.5,-2.9,30.9,14.0,0.64,Volcanic,5.3978777,0.06857328,5.7,tea,4.748818,0.83312595
14005,14005,628.61115,-9.750895,-2.619145,Rural_Hawassa,23.790745,1784.5,-3.9,30.3,13.2,0.7,Silt,6.656435,0.053276494,0.7,coffee,0.33217373,0.47453392
14006,14006,347.02725,-12.530907,-8.303968,Rural_Akatsi,8.3119755,1776.1,-6.5,32.7,13.1,0.65,Silt,6.553061,0.025500828,4.8,wheat,2.4710765,0.5148076
14007,14007,533.60223,-10.449277,-5.493089,Rural_Hawassa,5.575682,1744.7,-4.9,33.3,14.2,0.64,Silt,5.734359,0.1616527,3.4,cassava,1.425163,0.41916558
14008,14008,721.5064,-8.088293,-7.538184,Rural_Akatsi,28.5697,1277.0,-3.6,29.5,12.95,0.68,Volcanic,4.3399887,0.054764144,1.8,cassava,0.73263097,0.4070172
14009,14009,649.69324,-5.646208,-0.15512086,Rural_Sokoto,15.211339,1220.1,-4.3,30.4,13.05,0.63,Volcanic,5.637681,0.9536212,1.8,coffee,0.57449096,0.31916165
14010,14010,719.92346,-5.015411,-3.9209785,Rural_Kilimani,25.924604,605.7,-4.2,29.0,12.4,0.62,Sandy,5.162906,0.20834571,0.6,maize,0.26218042,0.43696737
14011,14011,682.7578,-14.495389,-6.628252,Rural_Hawassa,6.579453,1605.2,-3.6,32.0,14.2,0.63,Volcanic,4.1557026,2.8944065e-09,2.9,tea,2.1437,0.73920685
14012,14012,919.8943,-1.1360089,-2.0200312,Rural_Kilimani,11.541163,1400.7,-1.7,29.8,14.05,0.63,Volcanic,4.0588684,0.03827944,4.4,tea,2.4461143,0.5559351
14013,14013,540.8862,-9.687815,-4.6146894,Rural_Hawassa,7.649036,1526.5,-5.1,32.7,13.8,0.63,Silt,5.999588,0.013692138,2.6,banana,1.2625525,0.4855971
14014,14014,861.0435,-3.1500537,-7.5111566,Rural_Kilimani,9.34741,704.2,-2.8,28.8,13.0,0.57,Rocky,6.2574186,0.08167222,3.3,wheat,2.2445986,0.68018144
14015,14015,681.8955,-8.701068,-0.38485622,Rural_Sokoto,3.1712947,1760.4,-3.5,31.0,13.75,0.63,Volcanic,4.091525,0.11707003,14.9,tea,11.534796,0.7741474
14016,14016,482.74915,-9.025477,-6.1057167,Rural_Hawassa,8.711274,1261.2,-5.7,32.0,13.15,0.61,Peaty,4.9263825,0.076831184,3.2,wheat,1.2725152,0.39766097
14017,14017,534.9858,-10.1609125,-4.592166,Rural_Hawassa,7.9868565,1677.5,-4.9,29.1,12.1,0.64,Silt,6.601142,0.05444271,3.3,wheat,1.8108118,0.54873085
14018,14018,880.26196,-3.852942,-6.299415,Rural_Kilimani,58.39733,629.0,-2.7,29.9,13.6,0.72,Sandy,4.7796507,0.21843345,1.1,tea,0.47372112,0.43065554
14019,14019,236.53435,-12.571458,-7.164301,Rural_Akatsi,35.242027,1640.6,-7.7,34.4,13.35,0.73,Silt,6.8262167,0.0012760868,1.8,wheat,0.89712167,0.4984009
14020,14020,638.67926,-5.9435835,-0.21368086,Rural_Sokoto,12.194633,1228.2,-4.3,32.7,14.2,0.62,Volcanic,4.23,0.9933021,1.3,tea,0.60711884,0.4670145
14021,14021,837.4596,-4.9568367,-3.6056557,Rural_Kilimani,6.0658283,776.6,-3.0,30.7,13.85,0.57,Rocky,5.188831,0.19761053,4.5,wheat,2.386184,0.53026307
14022,14022,881.578,-4.308017,-2.9434772,Rural_Kilimani,7.7257576,949.6,-2.4,29.2,13.4,0.59,Rocky,5.6894035,0.27526754,4.8,potato,2.7164488,0.56592685
14023,14023,743.9062,-3.3167644,-0.8443269,Rural_Kilimani,2.181201,1282.5,-3.4,28.9,12.75,0.6,Volcanic,4.0309772,0.4435162,8.7,tea,4.607416,0.52958804
14024,14024,662.969,-10.106844,-0.019982437,Rural_Sokoto,15.944742,2065.1,-3.4,29.5,13.05,0.7,Volcanic,4.2934456,0.38305727,1.0,tea,0.71839035,0.71839035
14025,14025,798.81104,-9.895077,0.052091397,Rural_Sokoto,5.6130414,2173.0,-2.1,28.4,13.15,0.67,Volcanic,4.7766423,0.3577687,2.3,tea,1.5540159,0.6756591
14026,14026,455.8865,-0.6448883,-4.348917,Rural_Kilimani,18.530615,359.0,-6.8,34.9,14.05,0.58,Loamy,5.2230725,0.0062830127,1.1,cassava,0.6025075,0.5477341
14027,14027,828.2982,-3.1230197,-7.2994394,Rural_Kilimani,26.639044,646.8,-3.2,31.1,13.95,0.62,Sandy,6.496936,0.10529964,1.9,maize,1.1550664,0.60792965
14028,14028,461.19772,-9.620229,-3.0245602,Rural_Hawassa,20.72157,1528.6,-5.7,32.7,13.5,0.67,Silt,5.825383,0.0065487763,1.0,rice,0.7036959,0.7036959
14029,14029,435.1118,-1.3748106,-5.443538,Rural_Kilimani,15.101637,199.2,-7.2,32.7,12.75,0.55,Loamy,5.251082,0.104118176,1.0,potato,0.61001176,0.61001176
14030,14030,328.3482,-11.372944,-8.659833,Rural_Akatsi,9.453088,1790.4,-6.7,33.0,13.15,0.66,Silt,6.742462,0.20955199,3.3,wheat,1.5754495,0.47740892
14031,14031,741.2498,-6.155351,-7.8264794,Rural_Amanzi,30.368984,812.6,-3.8,28.9,12.55,0.65,Sandy,5.348623,0.35113797,1.8,wheat,0.7734169,0.42967606
14032,14032,711.27893,-3.104997,-0.79928076,Rural_Kilimani,5.6046777,1270.4,-3.7,28.6,12.45,0.61,Volcanic,4.241246,0.35830432,3.6,cassava,1.2290688,0.34140798
14033,14033,515.2907,-13.580733,-5.785889,Rural_Hawassa,10.20217,1731.6,-5.0,32.3,13.65,0.65,Silt,7.2491493,3.0468775e-07,3.3,banana,1.3365726,0.405022
14034,14034,603.7315,-6.1508455,-4.168732,Rural_Hawassa,22.49635,565.0,-5.3,27.7,11.2,0.6,Loamy,5.6899056,0.19298731,0.5,wheat,0.33019915,0.6603983
14035,14035,670.6716,-6.024686,-5.821926,Rural_Amanzi,15.474817,532.2,-4.7,30.6,12.95,0.58,Sandy,5.141908,0.27056912,0.9,maize,0.35621682,0.39579648
14036,14036,755.3246,-5.3758664,-4.3399076,Rural_Kilimani,32.44967,608.8,-3.9,31.9,14.0,0.64,Sandy,5.178272,0.23776259,1.3,potato,0.798488,0.6142216
14037,14037,752.5666,-2.807621,-0.889373,Rural_Kilimani,6.1940207,1321.2,-3.3,30.0,13.35,0.61,Volcanic,5.2498302,0.2631737,2.8,cassava,1.3953372,0.49833474
14038,14038,221.69618,-12.765203,-6.5741963,Rural_Hawassa,18.472605,1615.0,-7.6,30.6,11.5,0.67,Silt,7.1105385,1.342469e-05,0.6,banana,0.19859123,0.3309854
14039,14039,587.89594,-13.094119,-8.57875,Rural_Akatsi,4.4065533,1937.8,-4.2,30.3,13.05,0.65,Silt,6.9745717,0.0006432007,2.3,wheat,1.1837904,0.5146915
14040,14040,801.1991,-6.6644945,-7.6282763,Rural_Amanzi,8.497755,962.6,-3.1,28.4,12.65,0.59,Sandy,5.401896,0.30275282,3.1,wheat,1.3555719,0.43728125
14041,14041,883.1904,-3.925033,-3.704757,Rural_Kilimani,3.7397928,819.0,-2.5,29.0,13.25,0.57,Rocky,5.198335,0.2287928,11.5,potato,6.370278,0.55393726
14042,14042,328.57678,-13.292369,-8.164326,Rural_Hawassa,20.197634,1618.4,-6.8,30.6,11.9,0.68,Silt,6.604182,0.00016636254,2.0,wheat,1.0494548,0.5247274
14043,14043,712.1027,-6.3310733,-0.02448705,Rural_Sokoto,10.2091875,1355.6,-3.6,29.8,13.1,0.63,Volcanic,5.113852,0.9673252,4.6,tea,2.3367882,0.5079974
14044,14044,516.0894,-6.042709,-1.5740744,Rural_Hawassa,13.06871,895.9,-5.8,32.0,13.1,0.6,Loamy,4.532485,0.86759394,1.7,cassava,0.7323067,0.43076864
14045,14045,653.1544,-2.397603,-4.402972,Rural_Kilimani,9.968617,522.3,-4.9,30.3,12.7,0.56,Sandy,6.031233,0.1089027,2.1,maize,1.0900029,0.519049
14046,14046,700.7864,-8.273027,-2.2137296,Rural_Sokoto,8.209508,1454.1,-3.7,29.1,12.7,0.63,Volcanic,5.5932293,0.15485305,2.3,coffee,1.2152263,0.52835923
14047,14047,620.2968,-9.8860655,-5.245335,Rural_Hawassa,27.336853,1674.4,-4.1,29.5,12.7,0.7,Silt,5.5081625,0.08046309,1.5,banana,0.7466556,0.4977704
14048,14048,630.15674,-9.750895,-2.258776,Rural_Hawassa,9.848715,1797.1,-4.0,29.8,12.9,0.66,Silt,5.8386407,0.24842726,3.6,coffee,1.6240056,0.45111266
14049,14049,730.0034,-7.2322116,-6.416535,Rural_Akatsi,13.436044,908.1,-3.8,27.5,11.85,0.6,Sandy,4.8688984,0.28043962,1.6,potato,0.8409967,0.52562296
14050,14050,861.05096,-2.221881,-1.4119083,Rural_Kilimani,8.496749,1385.3,-2.2,29.8,13.8,0.62,Volcanic,4.3955765,0.1550812,2.9,cassava,1.1104858,0.38292614
14051,14051,617.7103,-8.669528,-4.37144,Rural_Hawassa,16.381088,1280.0,-4.5,33.5,14.5,0.64,Silt,6.24159,0.025076127,1.2,coffee,0.5159911,0.4299926
14052,14052,624.5622,-14.193508,-6.227341,Rural_Hawassa,5.249444,1650.7,-4.1,31.8,13.85,0.63,Silt,7.184005,1.7123075e-08,2.8,coffee,1.066918,0.38104215
14053,14053,651.9077,-9.223728,-7.8444977,Rural_Akatsi,33.535706,1613.3,-3.9,30.9,13.5,0.72,Volcanic,3.8077297,0.113481484,0.9,tea,0.6250731,0.6945256
14054,14054,840.38574,-8.804699,-8.222885,Rural_Akatsi,20.207758,1715.2,-2.1,31.5,14.7,0.68,Volcanic,4.4817567,0.1727056,1.6,tea,1.1764046,0.73525286
14055,14055,666.4551,-2.235398,-2.7903204,Rural_Kilimani,11.934613,862.4,-4.5,29.2,12.35,0.59,Sandy,5.5254283,0.25307757,0.8,potato,0.46079725,0.5759966
14056,14056,823.516,-7.079018,-7.6372857,Rural_Akatsi,4.056127,1085.9,-2.8,29.6,13.4,0.59,Sandy,5.004625,0.14170581,6.4,tea,3.2513282,0.50802004
14057,14057,535.2528,-6.673506,-3.5245726,Rural_Hawassa,2.9334629,677.2,-5.8,31.6,12.9,0.55,Loamy,5.262259,0.28950372,5.8,potato,3.731251,0.64331913
14058,14058,656.2651,-8.831733,-5.6147137,Rural_Hawassa,16.817501,1349.8,-4.1,29.8,12.85,0.65,Volcanic,3.9895113,0.100899026,1.8,cassava,0.6175464,0.34308133
14059,14059,384.81195,-11.039522,-5.3219137,Rural_Hawassa,4.804729,1716.7,-6.2,31.8,12.8,0.64,Silt,6.443211,0.039860513,4.5,banana,2.0713391,0.4602976
14060,14060,614.957,-7.4439793,-4.0516124,Rural_Hawassa,11.904948,894.7,-4.9,29.5,12.3,0.6,Loamy,5.0147924,0.08098631,1.8,cassava,1.0636281,0.5909045
14061,14061,687.92316,-9.8860655,-1.7227267,Rural_Sokoto,0.956943,1943.7,-3.3,28.8,12.75,0.64,Volcanic,4.4802985,0.21780819,10.3,tea,8.431798,0.81862116
14062,14062,651.97107,-6.4437156,-7.362504,Rural_Amanzi,27.926594,713.7,-4.7,30.9,13.1,0.63,Sandy,5.2063007,0.4360656,0.6,potato,0.33038372,0.5506395
14063,14063,421.48477,-10.408726,-4.9840674,Rural_Hawassa,3.4635286,1618.8,-6.0,34.2,14.1,0.62,Silt,6.309138,0.054528583,7.7,coffee,3.9183056,0.50887084
14064,14064,805.6267,-5.046951,-1.871379,Rural_Kilimani,19.105078,1085.1,-3.0,28.8,12.9,0.63,Sandy,6.0736203,0.73371005,0.7,wheat,0.271681,0.38811573
14065,14065,594.45905,-1.487453,-4.07864,Rural_Kilimani,21.703142,546.4,-5.4,30.4,12.5,0.6,Loamy,5.5479035,0.04096581,0.8,potato,0.55959445,0.69949305
14066,14066,622.55756,-8.55238,-0.18214856,Rural_Sokoto,3.1875043,1677.4,-4.1,31.4,13.65,0.63,Silt,6.4947042,0.12499518,14.4,banana,7.110254,0.49376765
14067,14067,577.0132,-8.538863,-4.2363014,Rural_Hawassa,5.4924397,1199.9,-5.0,31.3,13.15,0.6,Loamy,5.3077445,0.025004743,4.4,cassava,2.7004797,0.6137454
14068,14068,858.5443,-4.190869,-4.6912675,Rural_Kilimani,30.203053,650.2,-2.9,28.9,13.0,0.64,Sandy,6.433719,0.22916465,1.1,wheat,0.6736686,0.61242604
14069,14069,765.62366,-5.2497067,-3.425471,Rural_Kilimani,19.16428,743.7,-3.7,30.9,13.6,0.61,Sandy,5.1468215,0.20105569,0.8,wheat,0.3682191,0.46027386
14070,14070,302.256,-13.6212845,-7.249889,Rural_Hawassa,1.267449,1494.9,-7.2,31.2,12.0,0.61,Peaty,5.1916823,7.901955e-07,14.3,rice,9.24474,0.64648527
14071,14071,719.81244,-4.4747276,-0.70468384,Rural_Kilimani,9.862621,1217.1,-3.7,30.7,13.5,0.61,Volcanic,5.9817915,0.8053062,3.8,wheat,1.4326793,0.37702087
14072,14072,836.07416,-2.586842,-8.137298,Rural_Kilimani,16.601122,752.0,-3.0,30.0,13.5,0.6,Sandy,4.8745956,0.022556914,1.9,potato,1.140319,0.6001679
14073,14073,706.0934,-3.2987416,-1.7227267,Rural_Kilimani,8.033031,1074.8,-3.9,27.7,11.9,0.6,Sandy,5.8811216,0.44148514,4.1,coffee,1.3157034,0.32090327
14074,14074,744.00604,-7.655747,-7.245384,Rural_Akatsi,11.939963,1127.0,-3.5,30.3,13.4,0.61,Sandy,6.2793636,0.09676955,0.8,wheat,0.43691945,0.5461493
14075,14075,851.1212,-4.4026365,-6.3174334,Rural_Kilimani,12.528878,590.0,-3.1,29.2,13.05,0.58,Rocky,5.6310196,0.2707113,0.9,wheat,0.52931774,0.5881308
14076,14076,441.1946,-10.066293,-4.6011753,Rural_Hawassa,6.5168586,1550.0,-5.9,33.0,13.55,0.63,Silt,6.0003004,0.041370016,2.9,banana,1.34426,0.46353793
14077,14077,625.0462,-8.178408,-5.3804736,Rural_Hawassa,15.207025,1080.2,-4.6,34.9,15.15,0.62,Loamy,6.2078156,0.31436214,1.2,cassava,0.7271467,0.6059556
14078,14078,383.27856,-11.972201,-9.051735,Rural_Akatsi,10.766757,1874.8,-6.1,34.7,14.3,0.67,Silt,6.1445823,0.042347025,2.6,coffee,1.464785,0.5633789
14079,14079,781.06396,-4.19988,-0.8713546,Rural_Kilimani,6.670108,1266.5,-3.1,29.4,13.15,0.61,Volcanic,5.975491,0.7701632,2.5,coffee,0.8504141,0.34016564
14080,14080,471.36166,-10.187946,-5.155243,Rural_Hawassa,7.194303,1609.4,-5.6,31.6,13.0,0.64,Silt,6.6616907,0.076888256,2.2,wheat,1.1854026,0.5388194
14081,14081,388.15637,-10.953915,-5.3984923,Rural_Hawassa,5.5572853,1704.7,-6.2,32.1,12.95,0.64,Silt,5.54296,0.058718897,2.6,banana,1.182458,0.45479158
14082,14082,650.70374,-8.525346,-0.29476392,Rural_Sokoto,6.9979405,1692.2,-3.8,32.0,14.1,0.64,Volcanic,4.5755987,0.12684536,3.1,tea,2.583304,0.8333239
14083,14083,669.9362,-10.14289,-9.763464,Rural_Akatsi,8.80241,2044.3,-3.4,32.5,14.55,0.67,Volcanic,5.3744783,0.08297881,4.2,tea,3.4380455,0.81858224
14084,14084,805.21783,-9.863537,0.5746267,Rural_Sokoto,25.550663,2180.4,-2.1,30.6,14.25,0.74,Volcanic,5.253394,0.26311204,1.4,tea,0.9754675,0.6967625
14085,14085,491.28302,-10.661044,-9.218405,Rural_Akatsi,10.825295,1908.7,-5.1,30.8,12.85,0.67,Silt,6.578689,0.056521975,3.2,coffee,1.723694,0.5386543
14086,14086,777.5803,-4.7675977,-6.0741844,Rural_Kilimani,22.465475,523.3,-3.8,30.0,13.1,0.6,Sandy,5.981403,0.29930863,1.6,wheat,0.8712696,0.5445435
14087,14087,656.8555,-7.9441113,-5.1147013,Rural_Hawassa,22.842989,1035.1,-4.4,31.3,13.45,0.64,Sandy,5.627425,0.21314014,0.8,cassava,0.46342137,0.5792767
14088,14088,839.4386,-3.997124,-5.3083997,Rural_Kilimani,11.343376,588.4,-3.1,27.0,11.95,0.57,Rocky,6.1146936,0.23491047,3.0,maize,1.74632,0.5821067
14089,14089,743.02563,-5.749839,-4.5245967,Rural_Hawassa,15.810523,615.1,-4.0,31.8,13.9,0.59,Sandy,5.885471,0.24004512,1.3,maize,0.6809719,0.5238246
14090,14090,718.12366,-9.412968,-0.4118839,Rural_Sokoto,2.3627043,1966.2,-3.0,30.2,13.6,0.65,Volcanic,5.772013,0.2128654,9.9,coffee,6.167565,0.6229863
14091,14091,577.8157,-6.43921,-2.1011143,Rural_Hawassa,6.899772,919.9,-5.2,30.0,12.4,0.58,Loamy,4.9546223,0.69729346,4.3,potato,2.213323,0.5147263
14092,14092,764.39703,-4.2404313,-2.1551697,Rural_Kilimani,3.0007794,995.8,-3.4,31.9,14.25,0.58,Sandy,6.64277,0.49587846,7.3,wheat,3.492911,0.478481
14093,14093,500.25427,-12.508379,-9.074258,Rural_Akatsi,8.950406,1974.4,-4.8,32.9,14.05,0.67,Silt,6.224795,0.0059929546,4.6,coffee,2.5828602,0.5614913
14094,14094,321.8339,-11.016994,-6.5967197,Rural_Hawassa,9.467269,1665.1,-6.9,32.6,12.85,0.65,Silt,7.253591,0.064085536,4.4,wheat,1.9748226,0.4488233
14095,14095,545.4226,-9.845514,-4.790369,Rural_Hawassa,17.572662,1589.6,-4.9,28.1,11.6,0.67,Silt,6.6063013,0.02274033,1.1,coffee,0.51698035,0.46998215
14096,14096,717.2609,-6.1238112,-7.069704,Rural_Amanzi,12.722336,682.6,-4.2,27.6,11.7,0.58,Sandy,4.6390586,0.4321629,1.8,potato,0.89770144,0.49872303
14097,14097,293.18747,-12.373208,-8.272436,Rural_Akatsi,25.031857,1735.4,-7.1,32.4,12.65,0.7,Silt,6.899738,0.051607825,1.5,banana,0.5761213,0.38408086
14098,14098,630.36664,-8.746124,-4.182246,Rural_Hawassa,6.1975837,1331.8,-4.4,31.3,13.45,0.61,Peaty,5.202371,0.017215386,3.7,cassava,1.7363268,0.46927753
14099,14099,624.41034,-10.534885,-9.583279,Rural_Akatsi,6.685298,2052.0,-3.8,29.2,12.7,0.67,Silt,5.733689,0.050092462,3.8,coffee,2.0200655,0.5315962
14100,14100,695.4833,-8.579414,-0.52900386,Rural_Sokoto,6.420776,1733.4,-3.4,30.2,13.4,0.64,Volcanic,4.9871645,0.11963538,3.5,cassava,1.391589,0.39759687
14101,14101,646.30615,-8.827228,-1.1641545,Rural_Sokoto,6.045617,1684.7,-3.9,31.5,13.8,0.64,Volcanic,4.3554134,0.08094759,3.9,cassava,1.378407,0.3534377
14102,14102,715.8176,-5.614668,-4.3759446,Rural_Kilimani,27.734695,585.8,-4.3,30.3,13.0,0.62,Sandy,5.113713,0.23384178,1.2,wheat,0.5557439,0.4631199
14103,14103,586.37494,-5.5741167,-0.26773623,Rural_Sokoto,7.367499,1137.8,-4.9,30.6,12.85,0.6,Loamy,5.4291635,0.937615,3.4,cassava,1.8157601,0.5340471
14104,14104,197.7147,-12.661572,-6.8940244,Rural_Hawassa,7.5589805,1584.1,-8.1,36.3,14.1,0.64,Silt,6.22711,0.00016857062,2.7,wheat,1.3873236,0.51382357
14105,14105,401.08847,-10.850284,-8.326491,Rural_Akatsi,4.8920617,1801.7,-5.9,31.1,12.6,0.64,Silt,7.0254064,0.13881427,3.5,banana,1.421039,0.40601113
14106,14106,746.3017,-2.879712,-6.7498765,Rural_Kilimani,58.878757,515.3,-4.1,29.5,12.7,0.71,Sandy,6.1500835,0.21352315,1.0,potato,0.5670022,0.5670022
14107,14107,548.07635,-9.759906,-4.6732492,Rural_Hawassa,11.925078,1568.3,-4.9,29.2,12.15,0.65,Silt,5.8502965,0.016590815,1.0,rice,0.7368735,0.7368735
14108,14108,668.0947,-7.790918,-5.3624554,Rural_Hawassa,11.002491,991.0,-4.3,33.0,14.35,0.6,Sandy,5.3792725,0.2545987,2.3,cassava,1.2950257,0.5630546
14109,14109,674.9597,-5.925561,-2.2542713,Rural_Hawassa,1.6261514,922.8,-4.3,34.2,14.95,0.57,Sandy,5.585877,0.63696855,10.7,cassava,5.61056,0.52435136
14110,14110,666.24207,-8.804699,-4.31288,Rural_Hawassa,4.9132843,1381.8,-4.0,27.3,11.65,0.61,Volcanic,5.8355384,0.01783572,4.9,wheat,2.4217975,0.49424443
14111,14111,640.1717,-7.4304624,-5.7318335,Rural_Hawassa,3.4742558,846.2,-4.7,31.1,13.2,0.57,Sandy,5.790476,0.33639017,7.7,potato,4.218807,0.54789704
14112,14112,632.68726,-9.78694,-2.2137296,Rural_Sokoto,4.6806126,1821.6,-3.9,31.5,13.8,0.64,Silt,5.8305435,0.27770764,4.7,coffee,2.105952,0.4480749
14113,14113,320.94073,-14.247576,-7.596744,Rural_Hawassa,5.5753345,1314.2,-7.2,30.5,11.65,0.61,Peaty,5.384067,6.377201e-09,2.1,rice,1.3607621,0.647982
14114,14114,716.93835,-7.371888,-3.0921295,Rural_Hawassa,4.063141,1099.9,-3.8,31.6,13.9,0.59,Sandy,6.573968,0.17485633,9.4,coffee,4.0951285,0.435652
14115,14115,862.32684,-2.0506647,-1.6551574,Rural_Kilimani,4.096734,1349.0,-2.2,29.2,13.5,0.61,Volcanic,5.881824,0.14277072,13.6,tea,7.862636,0.578135
14116,14116,621.0694,-5.5335655,-1.695699,Rural_Hawassa,17.6149,943.9,-4.8,31.0,13.1,0.62,Loamy,6.063128,0.85683393,1.0,wheat,0.5051977,0.5051977
14117,14117,652.37427,-5.1505814,-0.36683774,Rural_Kilimani,8.070845,1183.3,-4.3,31.4,13.55,0.61,Sandy,6.339513,0.8555037,2.5,wheat,0.87967026,0.3518681
14118,14118,736.858,-2.9878488,-3.8353908,Rural_Kilimani,1.3380176,678.1,-4.0,28.8,12.4,0.55,Sandy,6.583653,0.21871707,11.6,maize,6.4775453,0.55840904
14119,14119,724.0288,-5.4930143,-7.2769165,Rural_Amanzi,18.601976,618.5,-4.2,32.2,14.0,0.6,Sandy,5.826553,0.43783018,1.9,maize,0.8934928,0.47025937
14120,14120,584.6194,-6.8672504,-3.2903326,Rural_Hawassa,11.611686,806.4,-5.3,30.3,12.5,0.59,Loamy,5.717501,0.26474386,3.9,potato,2.4891634,0.638247
14121,14121,806.9321,-7.2637515,-0.35782853,Rural_Sokoto,14.252288,1568.0,-2.5,32.4,14.95,0.65,Volcanic,4.2735286,0.56850594,0.6,tea,0.32480484,0.5413414
14122,14122,714.6977,-2.1407785,-6.8805103,Rural_Kilimani,14.913739,490.0,-4.4,29.9,12.75,0.58,Sandy,5.355797,0.19874722,1.6,potato,0.9763035,0.6101897
14123,14123,322.6483,-13.45908,-6.7498765,Rural_Hawassa,15.347454,1567.9,-6.9,33.5,13.3,0.66,Silt,5.345924,3.3349065e-07,0.5,banana,0.19375373,0.38750747
14124,14124,726.6218,-8.3451185,0.26380828,Rural_Sokoto,5.9117174,1764.7,-3.1,32.1,14.5,0.64,Volcanic,5.147471,0.13456398,3.6,coffee,1.7643187,0.49008855
14125,14125,599.60944,-2.1272614,-4.3939633,Rural_Kilimani,8.039916,477.2,-5.4,31.8,13.2,0.55,Loamy,5.51914,0.08603988,4.5,potato,3.08238,0.68497336
14126,14126,725.73065,-10.76017,-1.0695577,Rural_Sokoto,5.7974358,2188.3,-2.7,27.6,12.45,0.68,Volcanic,4.7390904,0.24220337,3.3,tea,2.4346201,0.7377637
14127,14127,782.58844,-4.7090235,-1.6326344,Rural_Kilimani,0.6233463,1109.7,-3.2,28.5,12.65,0.58,Sandy,5.266075,0.7679581,7.2,wheat,2.0145712,0.27980155
14128,14128,708.77094,-2.852678,-4.3894587,Rural_Kilimani,39.267128,566.2,-4.3,30.2,12.95,0.66,Sandy,5.6299677,0.14446078,1.8,maize,0.87764674,0.48758152
